FID	IID	Sex
S29842	S29842	1
S29915	S29915	2
S35080	S35080	1
S29394	S29394	2
S28977	S28977	1
S28885	S28885	1
S29104	S29104	2
S29951	S29951	2
S29910	S29910	1
S29967	S29967	2
S29982	S29982	1
S29893	S29893	1
S29443	S29443	1
S29912	S29912	1
S29696	S29696	1
S29134	S29134	1
S29964	S29964	1
S29858	S29858	1
S29972	S29972	2
S29923	S29923	2
S29410	S29410	1
S29436	S29436	2
S29321	S29321	2
S29890	S29890	2
S29856	S29856	2
S29870	S29870	2
S29578	S29578	2
S29883	S29883	2
S29865	S29865	2
S29502	S29502	1
S29642	S29642	1
S29877	S29877	2
S29408	S29408	1
S29952	S29952	1
S29474	S29474	1
S29462	S29462	1
S29908	S29908	1
S29552	S29552	1
S29892	S29892	1
S29882	S29882	2
S29414	S29414	1
S29469	S29469	2
S29859	S29859	1
S29971	S29971	1
S29733	S29733	2
S29997	S29997	2
S29471	S29471	1
S29592	S29592	1
S29477	S29477	1
S29843	S29843	2
S29735	S29735	1
S29983	S29983	2
S29854	S29854	2
S29918	S29918	2
S29988	S29988	2
S29520	S29520	2
S29480	S29480	2
S29593	S29593	1
S29977	S29977	2
S29874	S29874	2
S29978	S29978	1
S29563	S29563	1
S29989	S29989	1
S30003	S30003	1
S29413	S29413	1
S29864	S29864	1
S29899	S29899	2
S29846	S29846	1
S29921	S29921	1
S30000	S30000	2
S29500	S29500	1
S29710	S29710	2
S29400	S29400	1
S29540	S29540	1
S29612	S29612	1
S29609	S29609	1
S29445	S29445	2
S29960	S29960	2
S29434	S29434	1
S29323	S29323	2
S29544	S29544	1
S29498	S29498	1
S29403	S29403	2
S29999	S29999	1
S29617	S29617	1
S29424	S29424	2
S29639	S29639	2
S29581	S29581	1
S29636	S29636	1
S29852	S29852	1
S29968	S29968	1
S29518	S29518	1
S29464	S29464	1
S29604	S29604	1
S29383	S29383	2
S29361	S29361	2
S29621	S29621	2
S29995	S29995	2
S29530	S29530	2
S29444	S29444	2
S29907	S29907	1
S29641	S29641	1
S29315	S29315	1
S29452	S29452	2
S29441	S29441	2
S29638	S29638	1
S29479	S29479	1
S29324	S29324	2
S30001	S30001	1
S29419	S29419	2
S29401	S29401	2
S29946	S29946	2
S29984	S29984	2
S29495	S29495	2
S29417	S29417	2
S29418	S29418	2
S29906	S29906	1
S29925	S29925	1
S29473	S29473	1
S29924	S29924	1
S29431	S29431	1
S29991	S29991	1
S29914	S29914	1
S29919	S29919	1
S29734	S29734	1
S29411	S29411	1
S28733	S28733	2
S29449	S29449	1
S29718	S29718	1
S29386	S29386	1
S29644	S29644	2
S29902	S29902	1
S29903	S29903	2
S29895	S29895	1
S29399	S29399	1
S29426	S29426	1
S29397	S29397	1
S29631	S29631	2
S29320	S29320	1
S29845	S29845	1
S29659	S29659	2
S29515	S29515	2
S29611	S29611	2
S29647	S29647	1
S29339	S29339	1
S29648	S29648	2
S29398	S29398	2
S29709	S29709	1
S29866	S29866	2
S29966	S29966	1
S29677	S29677	2
S29598	S29598	2
S29628	S29628	1
S29447	S29447	1
S29430	S29430	1
S29872	S29872	1
S29326	S29326	2
S29314	S29314	2
S29689	S29689	1
S29732	S29732	1
S29605	S29605	2
S29325	S29325	1
S29990	S29990	1
S29904	S29904	2
S29887	S29887	1
S29554	S29554	2
S29423	S29423	1
S29624	S29624	2
S29437	S29437	2
S29961	S29961	2
S29468	S29468	1
S29643	S29643	1
S29381	S29381	1
S29726	S29726	2
S29680	S29680	1
S29652	S29652	1
S29955	S29955	1
S29505	S29505	1
S29871	S29871	2
S29868	S29868	2
S29439	S29439	1
S29693	S29693	1
S29575	S29575	2
S30002	S30002	1
S29470	S29470	1
S29368	S29368	2
S29916	S29916	2
S29490	S29490	1
S29144	S29144	1
S29920	S29920	1
S29993	S29993	1
S29963	S29963	1
S29585	S29585	1
S29316	S29316	2
S29953	S29953	2
S29555	S29555	2
S29658	S29658	1
S29956	S29956	2
S29720	S29720	1
S29660	S29660	1
S29446	S29446	1
S29556	S29556	1
S29501	S29501	2
S29508	S29508	2
S29681	S29681	1
S29342	S29342	1
S29729	S29729	1
S29366	S29366	1
S29507	S29507	2
S29620	S29620	1
S29559	S29559	1
S29722	S29722	2
S29334	S29334	1
S29482	S29482	1
S29529	S29529	2
S29615	S29615	1
S29512	S29512	2
S29897	S29897	1
S29509	S29509	2
S29975	S29975	2
S29561	S29561	1
S29958	S29958	1
S29662	S29662	1
S29359	S29359	1
S29848	S29848	1
S29855	S29855	2
S29911	S29911	1
S29876	S29876	1
S29541	S29541	1
S29362	S29362	1
S29717	S29717	2
S29714	S29714	1
S29562	S29562	2
S29664	S29664	2
S29580	S29580	1
S29374	S29374	2
S29666	S29666	1
S29694	S29694	1
S29708	S29708	2
S29623	S29623	1
S29965	S29965	1
S29466	S29466	1
